time (unix)	dt (s)	setpt (Pa)	p (Pa)	valve
1659007057.635	0.235	2251.70	473.91	5376
1659007069.634	0.231	2251.70	1170.07	5560
1659007089.637	0.230	2251.70	2285.83	4960
1659007109.635	0.230	2251.70	2288.66	4928
1659007129.634	0.231	2251.70	2285.02	4903
1659007149.642	0.237	2251.70	2276.07	4886
1659007169.638	0.235	2251.70	2265.13	4879
1659007189.638	0.234	2251.70	2251.60	4883
1659007209.639	0.233	2251.70	2241.38	4896
1659007229.641	0.233	2251.70	2236.19	4910
1659007249.639	0.234	2251.70	2233.02	4926
1659007269.641	0.236	2251.70	2232.32	4942
1659007289.639	0.233	2241.68	2232.85	4951
1659007309.639	0.234	2181.65	2225.29	4908
1659007329.637	0.232	2115.01	2204.85	4824
1659007349.636	0.233	2048.36	2172.63	4719
1659007369.638	0.235	1981.70	2126.99	4598
1659007389.640	0.235	1915.03	2074.30	4470
1659007409.642	0.235	1848.36	2005.95	4348
1659007429.641	0.235	1781.70	1921.84	4247
1659007449.643	0.236	1715.03	1839.83	4159
1659007469.639	0.234	1648.36	1759.33	4080
1659007489.641	0.236	1581.70	1675.41	4016
1659007509.635	0.232	1515.03	1591.95	3965
1659007529.636	0.232	1448.36	1511.62	3925
1659007549.634	0.230	1381.70	1437.62	3888
1659007569.638	0.234	1315.03	1367.65	3854
1659007589.645	0.238	1248.36	1299.55	3818
1659007609.640	0.236	1181.70	1232.01	3783
1659007629.641	0.235	1115.03	1161.77	3752
1659007649.639	0.235	1048.36	1093.30	3723
1659007669.641	0.236	981.70	1024.58	3694
1659007689.641	0.235	915.03	956.52	3667
1659007709.639	0.233	848.36	888.78	3640
1659007729.640	0.235	781.70	823.03	3612
1659007749.641	0.236	715.02	756.85	3584
1659007769.640	0.235	648.36	690.48	3555
1659007789.639	0.233	581.70	623.69	3527
1659007809.638	0.235	515.03	558.52	3498
1659007829.640	0.234	448.36	494.30	3465
1659007849.645	0.236	381.70	430.77	3430
1659007869.638	0.234	350.00	373.18	3414
1659007889.640	0.232	350.00	345.42	3430
1659007909.639	0.233	350.00	337.30	3443
1659007929.642	0.238	350.00	337.43	3454
1659007949.639	0.234	350.00	342.99	3457
1659007969.641	0.234	350.00	347.08	3458
1659007989.639	0.234	350.00	348.78	3458
1659008009.636	0.232	350.00	349.80	3458
1659008029.637	0.231	350.00	350.06	3458
1659008049.638	0.231	350.00	350.22	3458
1659008069.635	0.231	350.00	350.19	3458
1659008089.633	0.230	350.00	349.98	3458
1659008109.638	0.232	380.00	355.83	3476
1659008129.642	0.236	446.67	402.70	3514
1659008149.641	0.235	513.34	468.51	3546
1659008169.640	0.234	580.00	536.01	3576
1659008189.639	0.234	646.67	603.94	3604
1659008209.644	0.235	713.34	671.33	3632
1659008229.642	0.236	780.00	739.01	3660
1659008249.635	0.232	846.67	806.71	3686
1659008269.638	0.232	913.34	874.03	3712
1659008289.643	0.238	980.00	941.25	3737
1659008309.640	0.235	1046.67	1007.29	3763
1659008329.641	0.237	1113.34	1073.65	3790
1659008349.639	0.235	1180.00	1139.54	3818
1659008369.641	0.233	1246.67	1206.12	3844
1659008389.641	0.235	1313.34	1271.31	3873
1659008409.639	0.235	1380.00	1337.24	3903
1659008429.637	0.233	1446.67	1402.43	3933
1659008449.642	0.237	1513.36	1466.94	3966
1659008469.639	0.234	1580.03	1530.20	4001
1659008489.638	0.235	1646.71	1594.05	4039
1659008509.639	0.234	1713.37	1657.93	4080
1659008529.642	0.234	1780.03	1720.76	4123
1659008549.640	0.234	1846.70	1782.08	4170
1659008569.638	0.235	1913.36	1840.98	4226
1659008589.638	0.234	1980.03	1899.30	4288
1659008609.641	0.235	2046.69	1959.30	4355
1659008629.637	0.233	2113.36	2012.10	4434
1659008649.639	0.233	2180.03	2060.52	4530
1659008669.639	0.234	2240.70	2106.50	4642
1659008689.641	0.237	2251.70	2144.20	4724
1659008709.644	0.238	2251.70	2167.86	4782
1659008729.641	0.237	2251.70	2184.20	4830
1659008749.642	0.237	2251.70	2196.40	4869
1659008769.639	0.233	2251.70	2205.32	4903
1659008789.637	0.233	2251.70	2212.66	4932
1659008809.638	0.232	2251.70	2219.31	4956
1659008829.655	0.245	2251.70	2223.82	4976
1659008849.641	0.233	2251.70	2227.45	4994
1659008869.643	0.235	2251.70	2230.49	5010
1659008889.639	0.233	2251.70	2232.98	5024
1659008909.639	0.233	2247.70	2235.87	5035
1659008929.642	0.235	2195.03	2232.90	4997
1659008949.639	0.235	2128.36	2003.53	5140
1659008969.637	0.234	2061.70	2001.15	5196
1659008989.643	0.235	1995.03	2012.84	5158
1659009009.638	0.233	1929.03	2019.05	5066
