Dataset,CBOR_Mean_Ms,FCB_Mean_Ms,Time_Ratio,CBOR_Median_Ms,FCB_Median_Ms,CBOR_StdDev_Ms,FCB_StdDev_Ms,CBOR_Memory_Bytes,FCB_Memory_Bytes,Memory_Ratio,CBOR_CPU_Percent,FCB_CPU_Percent
3DBAG,73,6,12.167,72,6,6,0,276119552,5685248,48.568,98.42,99.66
3DBV,5050,120,42.083,5009,119,226,3,7212744704,61882368,116.556,93.75,99.42
Helsinki,6305,127,49.646,6329,127,232,1,7478312960,4915200,1521.467,97.56,99.85
Ingolstadt,46,0,inf,45,0,2,0,230326272,9420800,24.449,98.40,97.74
Montreal,59,0,inf,58,0,5,0,319373312,10928128,29.225,98.66,99.40
NYC,1395,42,33.214,1377,41,56,1,1808646144,6897664,262.211,98.56,99.17
Rotterdam,31,1,31.000,30,1,2,0,215973888,4521984,47.761,99.07,99.32
Vienna,59,1,59.000,58,1,3,0,232144896,6012928,38.608,98.65,99.66
Zurich,3444,149,23.114,3418,148,100,3,4908105728,6193152,792.505,98.88,99.29
Subset of Tokyo (PLATEAU),3121,94,33.202,2770,93,1551,2,4439490560,15613952,284.328,89.48,99.39
Takeshiba (PLATEAU) Brid,71,0,inf,69,0,12,0,301203456,20086784,14.995,95.39,92.04
Takeshiba (PLATEAU) Rail way,47,2,23.500,47,2,0,0,117587968,4882432,24.084,98.69,98.40
Takeshiba (PLATEAU) Transport,344,14,24.571,332,13,28,1,589692928,24150016,24.418,95.11,97.27
Takeshiba (PLATEAU) Tunnel,156,2,78.000,153,2,10,0,408453120,14909440,27.396,96.39,96.90
Takeshiba (PLATEAU) Vegetation,1055,33,31.970,1038,33,66,3,1857798144,73842688,25.159,96.67,97.39
