Dataset,CityJSONTextSequence_Mean_Ms,FCB_Mean_Ms,Time_Ratio,CityJSONTextSequence_Median_Ms,FCB_Median_Ms,CityJSONTextSequence_StdDev_Ms,FCB_StdDev_Ms,CityJSONTextSequence_Memory_Bytes,FCB_Memory_Bytes,Memory_Ratio,CityJSONTextSequence_CPU_Percent,FCB_CPU_Percent
3DBAG,54,6,9.000,53,6,5,0,26918912,5685248,4.735,98.70,99.66
3DBV,3787,120,31.558,3776,119,42,3,369442816,61882368,5.970,99.61,99.42
Helsinki,3485,127,27.441,3473,127,41,1,16891904,4915200,3.437,99.52,99.85
Ingolstadt,37,0,inf,36,0,1,0,37699584,9420800,4.002,99.02,97.74
Montreal,50,0,inf,50,0,1,0,43368448,10928128,3.969,99.09,99.40
NYC,949,42,22.595,914,41,90,1,23789568,6897664,3.449,95.22,99.17
Rotterdam,21,1,21.000,20,1,5,0,11337728,4521984,2.507,97.82,99.32
Vienna,46,1,46.000,45,1,5,0,19562496,6012928,3.253,98.20,99.66
Zurich,1878,149,12.604,1860,148,57,3,32718848,6193152,5.283,98.58,99.29
Subset of Tokyo (PLATEAU),1953,94,20.777,1942,93,48,2,75431936,15613952,4.831,98.92,99.39
Takeshiba (PLATEAU) Brid,89,0,inf,86,0,10,0,84180992,20086784,4.191,94.00,92.04
Takeshiba (PLATEAU) Rail way,38,2,19.000,38,2,1,0,17629184,4882432,3.611,98.06,98.40
Takeshiba (PLATEAU) Transport,259,14,18.500,254,13,15,1,80445440,24150016,3.331,96.63,97.27
Takeshiba (PLATEAU) Tunnel,50,2,25.000,49,2,7,0,85753856,14909440,5.752,96.17,96.90
Takeshiba (PLATEAU) Vegetation,900,33,27.273,875,33,95,3,207060992,73842688,2.804,95.69,97.39
